address,ip,port,protocol,anonymity,latency,ssl_supported,verified_exit,country_code,country_name,hosting,as_name,org,target_ok,target_latency
114.236.137.41:21000,114.236.137.41,21000,http,elite,0.655,False,False,CN,China,residential,AS4134 CHINANET BACKBONE,Chinanet JS,False,0.0
8.215.3.250:8008,8.215.3.250,8008,socks5,elite,2.399,True,False,ID,Indonesia,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,False,0.0
8.215.3.250:8080,8.215.3.250,8080,socks5,elite,2.402,True,False,ID,Indonesia,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,False,0.0
120.220.197.196:59999,120.220.197.196,59999,socks5,elite,1.377,True,False,CN,China,datacenter,"AS9808 China Mobile Communications Group Co., Ltd.","China Mobile Communications Group Co., Ltd",False,0.0
120.232.115.170:17981,120.232.115.170,17981,http,elite,0.893,False,False,CN,China,datacenter,"AS9808 China Mobile Communications Group Co., Ltd.","China Mobile Communications Group Co., Ltd",False,0.0
139.196.95.28:7890,139.196.95.28,7890,socks5,elite,0.414,True,False,CN,China,datacenter,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.","Aliyun Computing Co., LTD",False,0.0
27.185.218.213:17981,27.185.218.213,17981,http,elite,0.941,False,False,CN,China,datacenter,"AS134760 Shijiazhuang IDC network, CHINANET Hebei province",Chinanet HE,False,0.0
167.86.79.35:1080,167.86.79.35,1080,socks5,elite,0.365,True,False,DE,Germany,datacenter,AS51167 Contabo GmbH,Contabo GmbH,False,0.0
218.95.39.108:59999,218.95.39.108,59999,socks5,elite,0.462,True,False,CN,China,datacenter,AS139201 Jiangxi Jiujiang IDC,Chinanet JX,False,0.0
8.138.131.110:8443,8.138.131.110,8443,socks5,elite,2.4,True,False,CN,China,datacenter,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",Alibaba.com LLC,False,0.0
117.88.244.241:54919,117.88.244.241,54919,socks5,elite,1.488,True,False,CN,China,datacenter,AS134756 CHINANET Nanjing Jishan IDC network,Chinanet JS,False,0.0
116.196.150.180:17981,116.196.150.180,17981,http,elite,1.375,False,False,CN,China,residential,"AS131516 Jinhua Weian InfoTech Co., Ltd","Jinhua Weian InfoTech Co., Ltd",False,0.0
199.66.183.226:4145,199.66.183.226,4145,socks5,elite,0.169,True,True,US,United States,residential,AS20081 NET2ATLANTA.COM LLC,NET2ATLANTA.COM LLC,False,0.0
103.95.34.186:3128,103.95.34.186,3128,http,elite,1.731,False,False,MY,Malaysia,residential,AS136749 KS IT SOLUTIONS SDN BHD,KS IT SOLUTIONS SDN BHD,False,0.0
8.148.23.165:6379,8.148.23.165,6379,socks5,elite,2.431,True,False,CN,China,datacenter,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",Alibaba.com LLC,False,0.0
8.130.37.235:8119,8.130.37.235,8119,socks5,elite,2.432,True,False,CN,China,datacenter,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",Alibaba.com LLC,False,0.0
47.242.69.145:1011,47.242.69.145,1011,socks5,elite,0.308,True,False,HK,Hong Kong,datacenter,"AS45102 Alibaba (US) Technology Co., Ltd.",Hong Kong,False,0.0
